"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","nro_model"
"1",0.9754,0.9453,0.9435,0.992,0.665,0,0.3711,0.9704,0.9853,0.9924,0.9437,0.9924,0.9704,0.9813,0.665,0.6453,0.6502,0.9778,1
"2",0.9754,0.9453,0.9435,0.992,0.665,0,0.3711,0.9704,0.9853,0.9924,0.9437,0.9924,0.9704,0.9813,0.665,0.6453,0.6502,0.9778,2
"3",0.9754,0.9453,0.9435,0.992,0.665,0,0.3711,0.9704,0.9853,0.9924,0.9437,0.9924,0.9704,0.9813,0.665,0.6453,0.6502,0.9778,3
"4",0.9704,0.9341,0.9368,0.9891,0.665,0,0.6831,0.9704,0.9706,0.985,0.9429,0.985,0.9704,0.9776,0.665,0.6453,0.6552,0.9705,4
"5",0.9754,0.9453,0.9435,0.992,0.665,0,0.3711,0.9704,0.9853,0.9924,0.9437,0.9924,0.9704,0.9813,0.665,0.6453,0.6502,0.9778,5
"6",0.9704,0.9341,0.9368,0.9891,0.665,0,0.6831,0.9704,0.9706,0.985,0.9429,0.985,0.9704,0.9776,0.665,0.6453,0.6552,0.9705,6
"7",0.9704,0.9341,0.9368,0.9891,0.665,0,0.6831,0.9704,0.9706,0.985,0.9429,0.985,0.9704,0.9776,0.665,0.6453,0.6552,0.9705,7
"8",0.9704,0.9341,0.9368,0.9891,0.665,0,0.6831,0.9704,0.9706,0.985,0.9429,0.985,0.9704,0.9776,0.665,0.6453,0.6552,0.9705,8
"9",0.9704,0.9341,0.9368,0.9891,0.665,0,0.6831,0.9704,0.9706,0.985,0.9429,0.985,0.9704,0.9776,0.665,0.6453,0.6552,0.9705,9
"10",0.9704,0.9341,0.9368,0.9891,0.665,0,0.6831,0.9704,0.9706,0.985,0.9429,0.985,0.9704,0.9776,0.665,0.6453,0.6552,0.9705,10
"11",0.9704,0.9341,0.9368,0.9891,0.665,0,0.6831,0.9704,0.9706,0.985,0.9429,0.985,0.9704,0.9776,0.665,0.6453,0.6552,0.9705,11
"12",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,12
"13",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,13
"14",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,14
"15",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,15
"16",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,16
"17",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,17
"18",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,18
"19",0.9606,0.9115,0.9238,0.9828,0.665,0,1,0.9704,0.9412,0.9704,0.9412,0.9704,0.9704,0.9704,0.665,0.6453,0.665,0.9558,19
"20",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,20
"21",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,21
"22",0.9606,0.9115,0.9238,0.9828,0.665,0,1,0.9704,0.9412,0.9704,0.9412,0.9704,0.9704,0.9704,0.665,0.6453,0.665,0.9558,22
"23",0.9606,0.9115,0.9238,0.9828,0.665,0,1,0.9704,0.9412,0.9704,0.9412,0.9704,0.9704,0.9704,0.665,0.6453,0.665,0.9558,23
"24",0.9606,0.9115,0.9238,0.9828,0.665,0,1,0.9704,0.9412,0.9704,0.9412,0.9704,0.9704,0.9704,0.665,0.6453,0.665,0.9558,24
"25",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,25
"26",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,26
"27",0.9655,0.9229,0.9302,0.986,0.665,0,1,0.9704,0.9559,0.9776,0.942,0.9776,0.9704,0.974,0.665,0.6453,0.6601,0.9631,27
