"","nroModel","ntree","mtry","oob"
"1",1,500,1,0.0333
"2",2,1000,1,0.0312
"3",3,1500,1,0.0333
"4",4,500,2,0.0312
"5",5,1000,2,0.0333
"6",6,1500,2,0.0292
"7",7,500,3,0.0333
"8",8,1000,3,0.0312
"9",9,1500,3,0.0312
"10",10,500,4,0.0333
"11",11,1000,4,0.0354
"12",12,1500,4,0.0375
"13",13,500,5,0.0375
"14",14,1000,5,0.0354
"15",15,1500,5,0.0354
"16",16,500,6,0.0375
"17",17,1000,6,0.0396
"18",18,1500,6,0.0354
"19",19,500,7,0.0396
"20",20,1000,7,0.0417
"21",21,1500,7,0.0396
"22",22,500,8,0.0417
"23",23,1000,8,0.0396
"24",24,1500,8,0.0458
